start point = [5, 5]

results: 
180: [2.19375455 4.83259769] = 1.4290654024670524
181: [2.19062404 4.83060341] = 1.4276787572532461
182: [2.19260058 4.82748377] = 1.426290729870195
183: [2.18947229 4.82550614] = 1.4249041555326427
184: [2.19144554 4.82236754] = 1.4235161131112546
185: [2.18831931 4.82040637] = 1.4221294857895461
186: [2.19028934 4.81724852] = 1.4207413032206222
187: [2.18716501 4.81530365] = 1.4193544986979019
188: [2.18913186 4.81212624] = 1.4179660504501153
189: [2.18600927 4.81019751] = 1.4165789440621124
190: [2.18797299 4.80700023] = 1.4151901040888972
191: [2.18485198 4.80508747] = 1.4138025706318973
192: [2.18681263 4.80187001] = 1.4124132122771313
193: [2.18369305 4.79997307] = 1.41102512591469
194: [2.18565067 4.79673509] = 1.4096351218169654
195: [2.18253236 4.79485383] = 1.408246355985182
196: [2.18448699 4.79159501] = 1.406855577980478
197: [2.18136979 4.78972926] = 1.4054660052916268
198: [2.18332148 4.78644926] = 1.4040743243141653
199: [2.18020523 4.78459889] = 1.4026838164584814
200: [2.18215404 4.78129736] = 1.4012911024395613
201: [2.17903858 4.77946222] = 1.3998995300849737
202: [2.18098453 4.7761388 ] = 1.3985056518495518
203: [2.17786971 4.77431877] = 1.3971128845391292
204: [2.17981286 4.77097309] = 1.3957177096999247
205: [2.17669851 4.76916802] = 1.394323615746826
206: [2.17863889 4.7657997 ] = 1.3929270105957001
207: [2.17552487 4.76400948] = 1.3915314569753678
208: [2.17746252 4.76061814] = 1.3901332863717273
209: [2.17434865 4.75884263] = 1.388736138611086
210: [2.17628362 4.75542787] = 1.3873362658670394
211: [2.17316974 4.75366696] = 1.3859373879304289
212: [2.17510206 4.75022836] = 1.384535674692425
213: [2.17198801 4.74848193] = 1.3831349288639911
214: [2.17391773 4.74501908] = 1.3817312349906294
215: [2.17080335 4.74328702] = 1.380328481752875
216: [2.17273049 4.73979948] = 1.3789226651885902
217: [2.16961561 4.73808167] = 1.3775177630967788
218: [2.17154022 4.73456901] = 1.3761096797410515
219: [2.16842467 4.73286535] = 1.3747024852931364
220: [2.17034678 4.7293271 ] = 1.3732919888648942
221: [2.1672304  4.72763748] = 1.3718823563666114
222: [2.16915004 4.72407318] = 1.3704692982634343
223: [2.16603266 4.72239751] = 1.3690570796882027
224: [2.16794987 4.71880666] = 1.3676413088399406
225: [2.16483131 4.71714484] = 1.3662263536831605
226: [2.16674612 4.71352696] = 1.3648077163995345
227: [2.16362622 4.7118789 ] = 1.3633898715268673
228: [2.16553866 4.70823346] = 1.3619682113386051
229: [2.16241723 4.70659906] = 1.360547320827783
230: [2.16432733 4.70292554] = 1.3591224783207965
231: [2.16120421 4.70130473] = 1.3576983832964722
232: [2.16311199 4.69760258] = 1.3562701959385601
233: [2.15998699 4.69599526] = 1.3548427343996845
234: [2.16189249 4.69226393] = 1.3534110363592065
235: [2.15876543 4.69067002] = 1.3519800429983777
236: [2.16066867 4.68690893] = 1.3505446649542854
237: [2.15753936 4.68532836] = 1.3491099709684615
238: [2.15944038 4.6815369 ] = 1.3476707399110583
239: [2.15630863 4.67996959] = 1.3462321728030051
240: [2.15820744 4.67614716] = 1.3447889118247216
241: [2.15507307 4.67459303] = 1.3433462951944883
242: [2.1569697  4.67073898] = 1.3418988232699336
243: [2.15383251 4.66919798] = 1.3404519765956149
244: [2.15572698 4.66531166] = 1.3390001083500878
245: [2.15258678 4.66378372] = 1.337548846757061
246: [2.1544791  4.65986444] = 1.3360923922226449
247: [2.15133569 4.65834949] = 1.3346365262404094
248: [2.15322589 4.65439656] = 1.3331752905986944
249: [2.15007906 4.65289455] = 1.3317146259043624
250: [2.15196715 4.64890723] = 1.3302484092147744
251: [2.1488167 4.6474181] = 1.3287827463621855
252: [2.15070271 4.64339564] = 1.3273113432747896
253: [2.14754841 4.64191935] = 1.3258404774081403
254: [2.14943235 4.63786097] = 1.3243636768597082
255: [2.146274   4.63639746] = 1.3228873974104687
256: [2.14815588 4.63230236] = 1.3214049823024872
257: [2.14499326 4.63085158] = 1.319923072668297
258: [2.14687308 4.62671892] = 1.3184348195254643
259: [2.14370596 4.62528084] = 1.3169470567295625
260: [2.14558375 4.62110975] = 1.315452735337198
261: [2.1424119  4.61968432] = 1.3139588896668093
262: [2.14428766 4.6154739 ] = 1.3124582626854655
263: [2.14111083 4.61406109] = 1.3109580973074382
264: [2.14298457 4.60981042] = 1.3094509198628022
265: [2.13980253 4.60841019] = 1.3079441904146043
266: [2.14167425 4.60411829] = 1.3064302096606486
267: [2.13848675 4.60273062] = 1.3049166638146674
268: [2.14035645 4.59839648] = 1.3033956184677662
269: [2.13716324 4.59702134] = 1.3018749954666569
270: [2.13903092 4.59264392] = 1.3003466153081773
271: [2.13583173 4.59128129] = 1.2988186454687598
