learning rate = 0.01
start point = [0, 0]

results: 
147: [1.8973726482088915, 0.9999952487200544] = -7.989467626574045
148: [1.8994251952447136, 0.9999956288224501] = -7.989884708572007
149: [1.9014366913398193, 0.999995978516654] = -7.990285274121269
150: [1.903407957513023, 0.9999963002353217] = -7.990669977273441
151: [1.9053397983627625, 0.999996596216496] = -7.991039446179655
152: [1.907233002395507, 0.9999968685191762] = -7.9913942841162235
153: [1.9090883423475968, 0.9999971190376422] = -7.991735070469693
154: [1.910906575500645, 0.9999973495146308] = -7.992062361682877
155: [1.912688443990634, 0.9999975615534616] = -7.99237669216344
156: [1.9144346751108212, 0.9999977566291848] = -7.992678575156479
157: [1.9161459816086048, 0.99999793609885] = -7.992968503582577
158: [1.9178230619764327, 0.999998101210942] = -7.993246950842649
159: [1.9194666007369041, 0.9999982531140666] = -7.9935143715909245
160: [1.921077268722166, 0.9999983928649413] = -7.9937712024773155
161: [1.9226557233477226, 0.9999985214357462] = -7.9940178628603915
162: [1.9242026088807682, 0.9999986397208864] = -7.994254755492117
163: [1.9257185567031527, 0.9999987485432156] = -7.9944822671754725
164: [1.9272041855690898, 0.9999988486597583] = -7.994700769396038
165: [1.928660101857708, 0.9999989407669776] = -7.99491061892856
166: [1.9300868998205538, 0.9999990255056194] = -7.9951121584194995
167: [1.9314851618241426, 0.9999991034651698] = -7.995305716946521
168: [1.9328554585876598, 0.9999991751879584] = -7.995491610555805
169: [1.9341983494159067, 0.9999992411729217] = -7.995670142778105
170: [1.9355143824275887, 0.999999301879088] = -7.995841605124355
171: [1.9368040947790368, 0.999999357728761] = -7.996006277561653
172: [1.938068012883456, 0.99999940911046] = -7.996164428970399
173: [1.939306652625787, 0.9999994563816232] = -7.9963163175833305
174: [1.940520519573271, 0.9999994998710934] = -7.996462191407166
175: [1.9417101091818056, 0.9999995398814059] = -7.996602288627556
176: [1.9428759069981696, 0.9999995766908935] = -7.996736837998002
177: [1.944018388858206, 0.999999610555622] = -7.996866059213362
178: [1.945138021081042, 0.9999996417111723] = -7.996990163268582
179: [1.946235260659421, 0.9999996703742785] = -7.997109352803205
180: [1.9473105554462316, 0.9999996967443362] = -7.997223822432248
