learning rate = 0.01
start point = [2, 2]

results: 
1: [2.0, 1.9200000000000002] = -4.614399999999998
2: [2.0, 1.8464] = -5.134428159999999
3: [2.0, 1.778688] = -5.574579994623997
4: [2.0, 1.7163929599999999] = -5.947124507449754
5: [2.0, 1.6590815231999998] = -6.262446183105473
6: [2.0, 1.6063550013439998] = -6.529334449380473
7: [2.0, 1.5578466012364798] = -6.755228677955632
8: [2.0, 1.5132188731375615] = -6.946425553021646
9: [2.0, 1.4721613632865567] = -7.108254588077521
10: [2.0, 1.4343884542236323] = -7.245226683348813
11: [2.0, 1.3996373778857416] = -7.361159864786437
12: [2.0, 1.3676663876548822] = -7.459285709555239
13: [2.0, 1.3382530766424916] = -7.542339424567555
14: [2.0, 1.3111928305110923] = -7.612636088953979
15: [2.0, 1.2862974040702029] = -7.672135185690653
16: [2.0, 1.2633936117445868] = -7.722495221168568
17: [2.0, 1.2423221228050199] = -7.7651199551970755
18: [2.0, 1.2229363529806183] = -7.801197530078806
19: [2.0, 1.2051014447421688] = -7.8317335894587
20: [2.0, 1.1886933291627952] = -7.857579310117844
21: [2.0, 1.173597862829772] = -7.879455128083743
22: [2.0, 1.1597100338033903] = -7.89797082041008
23: [2.0, 1.1469332310991192] = -7.913642502395092
24: [2.0, 1.1351785726111896] = -7.926907014027206
25: [2.0, 1.1243642868022945] = -7.938134096672625
26: [2.0, 1.114415143858111] = -7.947636699423711
27: [2.0, 1.1052619323494621] = -7.955679702392228
28: [2.0, 1.0968409777615051] = -7.962487300104783
29: [2.0, 1.0890936995405847] = -7.968249250808688
30: [2.0, 1.0819662035773379] = -7.973126165884475
31: [2.0, 1.0754089072911508] = -7.977253986804618
32: [2.0, 1.0693761947078588] = -7.980747774431428
33: [2.0, 1.0638260991312303] = -7.9837049162787626
34: [2.0, 1.0587200112007316] = -7.986207841138345
35: [2.0, 1.054022410304673] = -7.988326316739494
36: [2.0, 1.0497006174802972] = -7.990119394488309
37: [2.0, 1.0457245680818734] = -7.991637055494905
38: [2.0, 1.0420666026353236] = -7.992921603770888
39: [2.0, 1.0387012744244977] = -7.994008845431679
40: [2.0, 1.035605172470538] = -7.994929086773373
41: [2.0, 1.032756758672895] = -7.995707979044983
42: [2.0, 1.0301362179790632] = -7.996367233463674
43: [2.0, 1.0277253205407382] = -7.996925226403654
44: [2.0, 1.025507294897479] = -7.997397511628051
45: [2.0, 1.0234667113056806] = -7.997797253841984
46: [2.0, 1.0215893744012268] = -7.9981355956518545
47: [2.0, 1.0198622244491287] = -7.998421968159731
48: [2.0, 1.0182732464931985] = -7.998664353850394
49: [2.0, 1.0168113867737418] = -7.998869509098975
50: [2.0, 1.015466475831844] = -7.999043152501372
51: [2.0, 1.0142291577652964] = -7.9991901242771615
52: [2.0, 1.0130908251440727] = -7.9993145211881895
53: [2.0, 1.012043559132547] = -7.9994198107336825
54: [2.0, 1.0110800744019464] = -7.999508927804989
55: [2.0, 1.0101936684497907] = -7.999584356494143
56: [2.0, 1.0093781749738076] = -7.999648199336642
57: [2.0, 1.0086279209759044] = -7.9997022359185355
58: [2.0, 1.007937687297832] = -7.9997479724814475
59: [2.0, 1.0073026723140055] = -7.999786683908297
60: [2.0, 1.006718458528885] = -7.999819449259983
61: [2.0, 1.0061809818465735] = -7.999847181853649
62: [2.0, 1.005686503298848] = -7.999870654720928
63: [2.0, 1.00523158303494] = -7.999890522155795
64: [2.0, 1.004813056392145] = -7.999907337952665
65: [2.0, 1.0044280118807734] = -7.999921570843135
66: [2.0, 1.0040737709303114] = -7.999933617561629
67: [2.0, 1.0037478692558863] = -7.999943813904162
68: [2.0, 1.0034480397154155] = -7.999952444088484
69: [2.0, 1.0031721965381823] = -7.999959748676492
70: [2.0, 1.0029184208151278] = -7.9999659312797835
71: [2.0, 1.0026849471499175] = -7.999971164235209
72: [2.0, 1.0024701513779242] = -7.999975593408681
73: [2.0, 1.0022725392676903] = -7.999979342261108
74: [2.0, 1.0020907361262752] = -7.999982515289801
75: [2.0, 1.0019234772361731] = -7.999985200941287
76: [2.0, 1.0017695990572792] = -7.999987474076706
77: [2.0, 1.0016280311326955] = -7.999989398058524
78: [2.0, 1.0014977886420797] = -7.999991026516735
79: [2.0, 1.0013779655507133] = -7.9999924048437645
80: [2.0, 1.0012677283066562] = -7.999993571459761
81: [2.0, 1.0011663100421258] = -7.999994558883543
82: [2.0, 1.0010730052387558] = -7.999995394639031
83: [2.0, 1.0009871648196553] = -7.999996102022475
84: [2.0, 1.000908191634083] = -7.999996700751824
85: [2.0, 1.0008355363033563] = -7.999997207516344
86: [2.0, 1.0007686933990878] = -7.999997636441833
87: [2.0, 1.0007071979271607] = -7.999997999484368
88: [2.0, 1.0006506220929916] = -7.999998306763569
89: [2.0, 1.0005985723255524] = -7.999998566844685
90: [2.0, 1.0005506865395088] = -7.99999878697734
91: [2.0, 1.0005066316163482] = -7.999998973297622
92: [2.0, 1.0004661010870404] = -7.999999130999107
93: [2.0, 1.0004288130000771] = -7.999999264477644
94: [2.0, 1.000394507960071] = -7.999999377453879
95: [2.0, 1.0003629473232651] = -7.9999994730769615
96: [2.0, 1.000333911537404] = -7.999999554012341
97: [2.0, 1.0003071986144134] = -7.999999622516045
98: [2.0, 1.0002826227252604] = -7.999999680497581
99: [2.0, 1.0002600129072394] = -7.999999729573153
100: [2.0, 1.0002392118746604] = -7.999999771110717
101: [2.0, 1.0002200749246875] = -7.999999806268111
102: [2.0, 1.0002024689307125] = -7.99999983602533
103: [2.0, 1.0001862714162555] = -7.999999861211837
104: [2.0, 1.000171369702955] = -7.9999998825297
105: [2.0, 1.0001576601267186] = -7.999999900573139
106: [2.0, 1.0001450473165812] = -7.999999915845104
107: [2.0, 1.0001334435312546] = -7.999999928771297
108: [2.0, 1.000122768048754] = -7.9999999397120245
109: [2.0, 1.0001129466048537] = -7.999999948972258
110: [2.0, 1.0001039108764653] = -7.99999995681012
111: [2.0, 1.0000955980063482] = -7.999999963444084
112: [2.0, 1.0000879501658404] = -7.999999969059074
113: [2.0, 1.0000809141525733] = -7.999999973811599
114: [2.0, 1.0000744410203675] = -7.999999977834138
115: [2.0, 1.000068485738738] = -7.999999981238814
116: [2.0, 1.000063006879639] = -7.999999984120532
117: [2.0, 1.000057966329268] = -7.999999986559619
118: [2.0, 1.0000533290229265] = -7.999999988624062
119: [2.0, 1.0000490627010925] = -7.999999990371405
120: [2.0, 1.000045137685005] = -7.999999991850357
121: [2.0, 1.0000415266702045] = -7.999999993102142
122: [2.0, 1.000038204536588] = -7.999999994161653
123: [2.0, 1.0000351481736611] = -7.999999995058424
124: [2.0, 1.0000323363197683] = -7.999999995817449
125: [2.0, 1.0000297494141868] = -7.99999999645989
126: [2.0, 1.0000273694610518] = -7.99999999700365
127: [2.0, 1.0000251799041677] = -7.99999999746389
128: [2.0, 1.0000231655118343] = -7.999999997853436
129: [2.0, 1.0000213122708876] = -7.999999998183149
130: [2.0, 1.0000196072892167] = -7.999999998462217
131: [2.0, 1.0000180387060793] = -7.999999998698421
132: [2.0, 1.000016595609593] = -7.999999998898343
133: [2.0, 1.0000152679608256] = -7.9999999990675565
134: [2.0, 1.0000140465239595] = -7.999999999210781
135: [2.0, 1.0000129228020427] = -7.999999999332005
136: [2.0, 1.0000118889778793] = -7.999999999434609
137: [2.0, 1.000010937859649] = -7.999999999521453
138: [2.0, 1.000010062830877] = -7.999999999594959
139: [2.0, 1.0000092578044069] = -7.999999999657172
140: [2.0, 1.0000085171800543] = -7.99999999970983
141: [2.0, 1.0000078358056503] = -7.999999999754401
142: [2.0, 1.0000072089411982] = -7.999999999792124
143: [2.0, 1.0000066322259025] = -7.999999999824054
144: [2.0, 1.00000610164783] = -7.999999999851081
145: [2.0, 1.0000056135160036] = -7.999999999873953
146: [2.0, 1.0000051644347232] = -7.999999999893314
147: [2.0, 1.0000047512799453] = -7.9999999999097025
148: [2.0, 1.0000043711775497] = -7.9999999999235705
149: [2.0, 1.0000040214833457] = -7.99999999993531
150: [2.0, 1.000003699764678] = -7.999999999945247
151: [2.0, 1.0000034037835037] = -7.999999999953657
152: [2.0, 1.0000031314808233] = -7.999999999960776
153: [2.0, 1.0000028809623573] = -7.9999999999668
154: [2.0, 1.0000026504853687] = -7.9999999999719
155: [2.0, 1.0000024384465391] = -7.999999999976216
156: [2.0, 1.000002243370816] = -7.9999999999798685
157: [2.0, 1.0000020639011507] = -7.999999999982961
158: [2.0, 1.0000018987890587] = -7.999999999985578
159: [2.0, 1.000001746885934] = -7.999999999987795
160: [2.0, 1.0000016071350593] = -7.999999999989669
161: [2.0, 1.0000014785642544] = -7.999999999991255
162: [2.0, 1.000001360279114] = -7.999999999992598
163: [2.0, 1.0000012514567849] = -7.999999999993737
164: [2.0, 1.0000011513402418] = -7.999999999994698
165: [2.0, 1.0000010592330213] = -7.999999999995513
166: [2.0, 1.0000009744943796] = -7.9999999999962
167: [2.0, 1.0000008965348293] = -7.999999999996785
168: [2.0, 1.0000008248120429] = -7.999999999997279
169: [2.0, 1.0000007588270794] = -7.999999999997698
170: [2.0, 1.000000698120913] = -7.99999999999805
171: [2.0, 1.00000064227124] = -7.99999999999835
172: [2.0, 1.0000005908895409] = -7.999999999998604
173: [2.0, 1.0000005436183776] = -7.999999999998819
