learning rate = 0.1
start point = [0, 0]

results: 
115: [1.9330752118054453e-07, 1.9330752118054453e-07] = -2.675294489821743e-09
116: [1.949884581284831e-07, 1.949884581284831e-07] = -2.675294546332729e-09
117: [1.966693951105768e-07, 1.966693951105768e-07] = -2.6752946028437076e-09
118: [1.9835033212682856e-07, 1.9835033212682856e-07] = -2.6752946593546964e-09
119: [2.000312691772379e-07, 2.000312691772379e-07] = -2.6752947158656856e-09
120: [2.0171220626180518e-07, 2.0171220626180518e-07] = -2.6752947723766675e-09
121: [2.0339314338053057e-07, 2.0339314338053057e-07] = -2.67529482888766e-09
122: [2.0507408053341384e-07, 2.0507408053341384e-07] = -2.6752948853986534e-09
123: [2.0675501772045455e-07, 2.0675501772045455e-07] = -2.6752949419096476e-09
124: [2.0843595494165314e-07, 2.0843595494165314e-07] = -2.675294998420662e-09
125: [2.1011689219700955e-07, 2.1011689219700955e-07] = -2.6752950549316592e-09
126: [2.1179782948652357e-07, 2.1179782948652357e-07] = -2.6752951114426576e-09
127: [2.1347876681019535e-07, 2.1347876681019535e-07] = -2.6752951679536667e-09
128: [2.1515970416802583e-07, 2.1515970416802583e-07] = -2.6752952244646766e-09
129: [2.1684064156001334e-07, 2.1684064156001334e-07] = -2.6752952809756878e-09
130: [2.1852157898615862e-07, 2.1852157898615862e-07] = -2.6752953374866998e-09
131: [2.2020251644646185e-07, 2.2020251644646185e-07] = -2.6752953939977234e-09
132: [2.2188345394092303e-07, 2.2188345394092303e-07] = -2.675295450508728e-09
133: [2.2356439146954196e-07, 2.2356439146954196e-07] = -2.6752955070197536e-09
134: [2.252453290323187e-07, 2.252453290323187e-07] = -2.6752955635307805e-09
135: [2.269262666292553e-07, 2.269262666292553e-07] = -2.6752956200417982e-09
136: [2.2860720426034688e-07, 2.2860720426034688e-07] = -2.675295676552827e-09
137: [2.3028814192559648e-07, 2.3028814192559648e-07] = -2.6752957330638574e-09
138: [2.31969079625004e-07, 2.31969079625004e-07] = -2.675295789574889e-09
139: [2.336500173585694e-07, 2.336500173585694e-07] = -2.6752958460859306e-09
