learning rate = 0.1
start point = [0, 0]

results: 
101: [1.9999521894819998, 0.9999760947410028] = -7.9999999954283085
102: [1.9999569705338, 0.9999784852669026] = -7.99999999629693
103: [1.99996127348042, 0.9999806367402123] = -7.999999997000513
104: [1.9999651461323782, 0.9999825730661911] = -7.9999999975704155
105: [1.9999686315191407, 0.999984315759572] = -7.999999998032036
106: [1.9999717683672265, 0.9999858841836149] = -7.99999999840595
107: [1.9999745915305036, 0.9999872957652534] = -7.9999999987088195
108: [1.9999771323774533, 0.999988566188728] = -7.999999998954143
109: [1.999979419139708, 0.9999897095698552] = -7.999999999152856
110: [1.999981477225737, 0.9999907386128697] = -7.999999999313814
111: [1.9999833295031633, 0.9999916647515827] = -7.9999999994441895
112: [1.999984996552847, 0.9999924982764244] = -7.999999999549793
113: [1.999986496897562, 0.999993248448782] = -7.999999999635333
114: [1.9999878472078059, 0.9999939236039038] = -7.999999999704619
115: [1.9999890624870218, 0.9999945312435135] = -7.999999999760742
116: [1.9999901562383195, 0.9999950781191619] = -7.9999999998062
117: [1.9999911406144875, 0.9999955703072457] = -7.9999999998430225
118: [1.9999920265530389, 0.9999960132765212] = -7.999999999872848
119: [1.999992823897735, 0.9999964119488691] = -7.999999999897007
120: [1.9999935415079617, 0.9999967707539822] = -7.999999999916576
121: [1.9999941873571654, 0.9999970936785839] = -7.9999999999324265
122: [1.999994768621449, 0.9999973843107255] = -7.999999999945265
123: [1.999995291759304, 0.9999976458796529] = -7.999999999955665
124: [1.9999957625833737, 0.9999978812916874] = -7.999999999964088
125: [1.9999961863250364, 0.9999980931625188] = -7.999999999970912
126: [1.9999965676925329, 0.9999982838462669] = -7.999999999976438
127: [1.9999969109232796, 0.9999984554616401] = -7.999999999980915
128: [1.9999972198309517, 0.9999986099154761] = -7.999999999984541
129: [1.9999974978478565, 0.9999987489239285] = -7.9999999999874785
130: [1.9999977480630708, 0.9999988740315356] = -7.999999999989858
131: [1.9999979732567639, 0.999998986628382] = -7.999999999991784
132: [1.9999981759310879, 0.9999990879655438] = -7.999999999993346
133: [1.999998358337979, 0.9999991791689894] = -7.99999999999461
134: [1.9999985225041812, 0.9999992612520904] = -7.999999999995634
135: [1.999998670253763, 0.9999993351268813] = -7.999999999996463
136: [1.9999988032283857, 0.9999994016141932] = -7.999999999997136
137: [1.9999989229055473, 0.9999994614527739] = -7.99999999999768
138: [1.9999990306149924, 0.9999995153074965] = -7.999999999998121
139: [1.999999127553493, 0.9999995637767468] = -7.999999999998478
140: [1.9999992147981436, 0.9999996073990721] = -7.999999999998767
141: [1.999999293318329, 0.9999996466591649] = -7.999999999999001
142: [1.9999993639864964, 0.9999996819932483] = -7.999999999999191
143: [1.9999994275878468, 0.9999997137939235] = -7.9999999999993445
144: [1.9999994848290619, 0.999999742414531] = -7.999999999999469
145: [1.9999995363461558, 0.999999768173078] = -7.99999999999957
146: [1.9999995827115402, 0.9999997913557702] = -7.999999999999652
147: [1.9999996244403861, 0.9999998122201932] = -7.999999999999718
148: [1.9999996619963476, 0.9999998309981738] = -7.999999999999772
149: [1.9999996957967128, 0.9999998478983564] = -7.999999999999815
150: [1.999999726217042, 0.9999998631085207] = -7.99999999999985
151: [1.9999997535953378, 0.9999998767976686] = -7.999999999999878
152: [1.9999997782358039, 0.9999998891179018] = -7.999999999999901
153: [1.9999998004122235, 0.9999999002061116] = -7.99999999999992
154: [1.999999820371001, 0.9999999101855004] = -7.999999999999935
155: [1.9999998383339008, 0.9999999191669503] = -7.999999999999948
156: [1.9999998545005107, 0.9999999272502552] = -7.999999999999957
157: [1.9999998690504597, 0.9999999345252297] = -7.999999999999965
158: [1.9999998821454137, 0.9999999410727067] = -7.9999999999999725
159: [1.9999998939308723, 0.9999999469654366] = -7.999999999999978
160: [1.999999904537785, 0.9999999522688928] = -7.999999999999981
161: [1.9999999140840066, 0.9999999570420035] = -7.999999999999985
162: [1.9999999226756058, 0.9999999613378032] = -7.9999999999999885
163: [1.9999999304080454, 0.9999999652040226] = -7.99999999999999
164: [1.9999999373672408, 0.9999999686836203] = -7.999999999999992
165: [1.9999999436305167, 0.9999999718152582] = -7.999999999999994
166: [1.999999949267465, 0.9999999746337324] = -7.999999999999995
167: [1.9999999543407185, 0.9999999771703586] = -7.999999999999996
168: [1.9999999589066464, 0.9999999794533228] = -7.9999999999999964
169: [1.9999999630159817, 0.9999999815079905] = -7.999999999999997
170: [1.9999999667143835, 0.9999999833571915] = -7.999999999999998
171: [1.9999999700429452, 0.9999999850214759] = -7.999999999999998
172: [1.9999999730386506, 0.9999999865193283] = -7.999999999999998
173: [1.9999999757347857, 0.9999999878673955] = -7.999999999999999
174: [1.9999999781613071, 0.9999999890806559] = -7.999999999999999
175: [1.9999999803451765, 0.9999999901725902] = -7.999999999999999
176: [1.999999982310659, 0.9999999911553311] = -7.999999999999999
177: [1.999999984079593, 0.9999999920397982] = -7.999999999999999
178: [1.9999999856716337, 0.9999999928358185] = -8.0
179: [1.9999999871044702, 0.9999999935522367] = -8.0
180: [1.9999999883940232, 0.999999994197013] = -8.0
181: [1.9999999895546212, 0.9999999947773117] = -8.0
182: [1.999999990599159, 0.9999999952995805] = -8.0
183: [1.9999999915392428, 0.9999999957696225] = -8.0
184: [1.9999999923853184, 0.9999999961926603] = -8.0
185: [1.9999999931467864, 0.9999999965733943] = -8.0
186: [1.9999999938321078, 0.999999996916055] = -8.0
187: [1.9999999944488966, 0.9999999972244495] = -8.0
188: [1.9999999950040073, 0.9999999975020046] = -8.0
189: [1.9999999955036065, 0.9999999977518041] = -8.0
190: [1.9999999959532457, 0.9999999979766238] = -8.0
191: [1.9999999963579211, 0.9999999981789613] = -8.0
192: [1.9999999967221291, 0.9999999983610652] = -8.0
193: [1.9999999970499163, 0.9999999985249561] = -8.0
194: [1.9999999973449243, 0.9999999986724606] = -8.0
195: [1.999999997610432, 0.9999999988052145] = -8.0
196: [1.9999999978493879, 0.999999998924693] = -8.0
197: [1.9999999980644492, 0.9999999990322237] = -8.0
198: [1.9999999982580041, 0.999999999128994] = -8.0
199: [1.9999999984322034, 0.9999999992160945] = -8.0
200: [1.999999998588983, 0.999999999294485] = -8.0
201: [1.9999999987300845, 0.9999999993650365] = -8.0
202: [1.999999998857076, 0.9999999994285328] = -8.0
203: [1.9999999989713684, 0.9999999994856795] = -8.0
204: [1.9999999990742316, 0.9999999995371116] = -8.0
205: [1.9999999991668085, 0.9999999995834005] = -8.0
206: [1.9999999992501276, 0.9999999996250605] = -8.0
207: [1.9999999993251147, 0.9999999996625543] = -8.0
208: [1.9999999993926032, 0.9999999996962988] = -8.0
209: [1.9999999994533428, 0.999999999726669] = -8.0
210: [1.9999999995080084, 0.9999999997540021] = -8.0
211: [1.999999999557208, 0.9999999997786019] = -8.0
212: [1.9999999996014872, 0.9999999998007417] = -8.0
213: [1.9999999996413385, 0.9999999998206676] = -8.0
214: [1.9999999996772044, 0.9999999998386008] = -8.0
215: [1.999999999709484, 0.9999999998547406] = -8.0
216: [1.9999999997385354, 0.9999999998692666] = -8.0
217: [1.9999999997646818, 0.9999999998823406] = -8.0
218: [1.9999999997882136, 0.9999999998941065] = -8.0
219: [1.9999999998093922, 0.9999999999046959] = -8.0
220: [1.9999999998284534, 0.9999999999142263] = -8.0
221: [1.9999999998456082, 0.9999999999228036] = -8.0
222: [1.9999999998610474, 0.9999999999305232] = -8.0
223: [1.9999999998749425, 0.9999999999374709] = -8.0
224: [1.9999999998874483, 0.9999999999437239] = -8.0
225: [1.9999999998987035, 0.9999999999493514] = -8.0
226: [1.9999999999088331, 0.9999999999544162] = -8.0
227: [1.9999999999179499, 0.9999999999589746] = -8.0
228: [1.9999999999261548, 0.9999999999630771] = -8.0
229: [1.9999999999335396, 0.9999999999667694] = -8.0
230: [1.9999999999401854, 0.9999999999700924] = -8.0
231: [1.9999999999461673, 0.9999999999730832] = -8.0
