learning rate = 0.1
start point = [0, 0]

results: 
1: [-0.008272047261993777, -0.008272047261993777] = -2.41066379227171e-09
2: [-0.016509004086221937, -0.016509004086221937] = -2.172288275773416e-09
3: [-0.024711336570884514, -0.024711336570884514] = -1.9575490546535356e-09
4: [-0.03287949879868595, -0.03287949879868595] = -1.7640947831522272e-09
5: [-0.0410139332703897, -0.0410139332703897] = -1.5898089455169522e-09
6: [-0.04911507131793408, -0.04911507131793408] = -1.4327862923219504e-09
7: [-0.05718333349813637, -0.05718333349813635] = -1.2913116549030114e-09
8: [-0.06521912996797022, -0.0652191299679702] = -1.1638408961978906e-09
9: [-0.07322286084257852, -0.07322286084257851] = -1.0489837810619232e-09
10: [-0.0811949165370278, -0.08119491653702779] = -9.45488571346788e-10
11: [-0.0891356780927233, -0.08913567809272331] = -8.522281709462089e-10
12: [-0.09704551748909421, -0.09704551748909422] = -7.681876638726161e-10
13: [-0.10492479794155812, -0.10492479794155704] = -6.924531044373332e-10
14: [-0.11277387418688865, -0.11277387418626911] = -6.242014329747496e-10
15: [-0.1205930927545741, -0.1205930927540115] = -5.626914034401479e-10
16: [-0.12838279222958526, -0.12838279222931978] = -5.072554207694926e-10
17: [-0.13614330350108494, -0.13614330350132497] = -4.5729219626750306e-10
18: [-0.1438749500028739, -0.14387495000261077] = -4.12260138599244e-10
19: [-0.15157804793993615, -0.151578047940786] = -3.716714063291416e-10
20: [-0.15925290651264454, -0.15925290651461138] = -3.3508655544162225e-10
21: [-0.16689982812484963, -0.16689982812767612] = -3.0210972202911266e-10
22: [-0.17451910858700467, -0.17451910859014313] = -2.7238428637593094e-10
23: [-0.18211103731003278, -0.1821110373132807] = -2.455889701041437e-10
24: [-0.1896758974920892, -0.18967589749597977] = -2.2143432292645816e-10
25: [-0.19721396629917323, -0.19721396630263371] = -1.9965955993791846e-10
26: [-0.20472551503391714, -0.20472551503810293] = -1.8002971431711582e-10
27: [-0.21221080930624125, -0.21221080930905373] = -1.62333073843065e-10
28: [-0.21967010918582405, -0.21967010918908342] = -1.46378872822304e-10
29: [-0.2271036693620088, -0.22710366936517384] = -1.3199521387061815e-10
30: [-0.23451173928665148, -0.23451173928946123] = -1.190271965680481e-10
31: [-0.24189456331660864, -0.2418945633201121] = -1.0733523231324531e-10
32: [-0.24925238085203225, -0.24925238085631984] = -9.679352677855364e-11
33: [-0.2565854264662957, -0.25658542647107396] = -8.728871323475456e-11
34: [-0.2638939300323543, -0.2638939300379422] = -7.871862169086883e-11
35: [-0.271178116846299, -0.27117811685187176] = -7.099117030356795e-11
36: [-0.278438207742551, -0.2784382077489748] = -6.402336686818187e-11
37: [-0.2856744192104429, -0.28567441921698766] = -5.7740409422168127e-11
38: [-0.29288696350065996, -0.29288696350730026] = -5.207487609044425e-11
39: [-0.3000760487311587, -0.3000760487401728] = -4.6965995288057514e-11
40: [-0.307241878994032, -0.3072418790013438] = -4.235898828428982e-11
41: [-0.3143846544433775, -0.3143846544508376] = -3.820447693050577e-11
42: [-0.32150457140015154, -0.321504571407729] = -3.445795007303657e-11
43: [-0.32860182243907987, -0.3286018224464651] = -3.107928281858518e-11
44: [-0.3356765964776288, -0.33567659648445364] = -2.8032303401626755e-11
45: [-0.34272907886156445, -0.3427290788676951] = -2.5284402926351936e-11
46: [-0.34975945144721793, -0.34975945145352716] = -2.2806183727270413e-11
47: [-0.35676789268238784, -0.3567678926893006] = -2.0571142516113792e-11
48: [-0.3637545776828798, -0.36375457768985614] = -1.855538486440718e-11
49: [-0.37071967830623526, -0.3707196783131473] = -1.6737367914305317e-11
50: [-0.37766336322423383, -0.37766336323169686] = -1.5097668519644205e-11
51: [-0.3845857979938812, -0.384585798001261] = -1.3618774297109762e-11
52: [-0.39148714512291544, -0.39148714512972493] = -1.2284895318164101e-11
53: [-0.39836756413549906, -0.3983675641424659] = -1.1081794397524987e-11
54: [-0.40522721163696374, -0.4052272116432899] = -9.99663413742154e-12
55: [-0.4120662413722075, -0.41206624137849984] = -9.01783906918409e-12
56: [-0.4188848042874803, -0.4188848042930899] = -8.134971398633179e-12
57: [-0.4256830485853193, -0.42568304859048983] = -7.338619009694017e-12
58: [-0.432461119780993, -0.43246111978681007] = -6.620294514242231e-12
59: [-0.43921916075723416, -0.4392191607629201] = -5.972344256273018e-12
60: [-0.4459573118139932, -0.44595731181929105] = -5.3878662866324556e-12
61: [-0.4526757107195527, -0.4526757107248615] = -4.8606364222116135e-12
62: [-0.45937449275996495, -0.4593744927651257] = -4.3850415910315505e-12
63: [-0.4660537907849735, -0.4660537907906228] = -3.9560197438557176e-12
64: [-0.472713735255178, -0.4727137352609222] = -3.5690056841292284e-12
65: [-0.47935445428502105, -0.47935445429030105] = -3.2198822321534404e-12
66: [-0.48597607368542145, -0.4859760736907561] = -2.90493619722297e-12
67: [-0.49257871700640793, -0.4925787170122037] = -2.620818683465854e-12
68: [-0.49916250557724035, -0.4991625055830188] = -2.3645093020071675e-12
69: [-0.505727558543964, -0.5057275585502788] = -2.1332839043431298e-12
70: [-0.5122739929092637, -0.5122739929154962] = -1.924685489832578e-12
71: [-0.51880192356752, -0.5188019235725534] = -1.7364979745175394e-12
72: [-0.525311463339046, -0.525311463344224] = -1.5667225393585806e-12
73: [-0.5318027230079044, -0.5318027230130228] = -1.4135563038068481e-12
74: [-0.5382758113523572, -0.5382758113574285] = -1.2753730957128427e-12
75: [-0.5447308351777626, -0.5447308351830124] = -1.1507061111745683e-12
76: [-0.5511678993482861, -0.5511678993532391] = -1.0382322782689677e-12
77: [-0.557587106815908, -0.5575871068206547] = -9.367581569816314e-13
78: [-0.56398855865045, -0.5639885586553527] = -8.45207224168817e-13
79: [-0.570372354068109, -0.5703723540733442] = -7.626084072934031e-13
80: [-0.5767385904585146, -0.5767385904636829] = -6.880857441123432e-13
81: [-0.583087363410805, -0.5830873634158509] = -6.208490575745979e-13
82: [-0.5894187667397436, -0.5894187667449142] = -5.601855461210356e-13
83: [-0.5957328925106737, -0.5957328925157278] = -5.054521993959448e-13
84: [-0.6020298310631377, -0.6020298310677418] = -4.560689582365761e-13
85: [-0.6083096710340925, -0.6083096710381097] = -4.1151254580740163e-13
86: [-0.6145724993801297, -0.6145724993841889] = -3.7131090393475774e-13
87: [-0.6208184014004302, -0.6208184014040335] = -3.3503817518843503e-13
88: [-0.6270474607556162, -0.6270474607592622] = -3.023101771090236e-13
89: [-0.6332597594901551, -0.6332597594932989] = -2.7278032024886723e-13
90: [-0.6394553780496508, -0.639455378052954] = -2.461359264518602e-13
91: [-0.6456343953017363, -0.6456343953051179] = -2.2209490807863405e-13
92: [-0.6517968885526474, -0.6517968885565574] = -2.0040277274821032e-13
93: [-0.657942933566173, -0.6579429335699536] = -1.808299216500011e-13
94: [-0.6640726045786784, -0.6640726045825405] = -1.631692126190972e-13
95: [-0.6701859743170768, -0.6701859743205563] = -1.4723376199835635e-13
96: [-0.6762831140130793, -0.6762831140160535] = -1.3285496186314002e-13
97: [-0.6823640934186206, -0.6823640934216824] = -1.198806914846304e-13
98: [-0.6884289808209991, -0.6884289808240683] = -1.0817370398388457e-13
99: [-0.6944778430558924, -0.6944778430585191] = -9.761017099707821e-14
100: [-0.7005107455200231, -0.7005107455227771] = -8.807836986074792e-14
101: [-0.7065277521855554, -0.7065277521879162] = -7.94774993456333e-14
102: [-0.7125289256101053, -0.712528925612575] = -7.171661133919361e-14
103: [-0.7185143269501724, -0.7185143269525547] = -6.471364711345673e-14
104: [-0.7244840159708826, -0.7244840159731482] = -5.839456792954244e-14
105: [-0.7304380510569686, -0.7304380510589378] = -5.269257073597543e-14
106: [-0.7363764892224286, -0.7363764892243113] = -4.7547380624003985e-14
107: [-0.7422993861205122, -0.742299386122146] = -4.2904612521560804e-14
108: [-0.748206796051547, -0.748206796053838] = -3.871519534397398e-14
109: [-0.7540987719736038, -0.7540987719753677] = -3.493485248497938e-14
110: [-0.7599753655068442, -0.7599753655089699] = -3.1523633130923064e-14
111: [-0.7658366269445159, -0.7658366269468105] = -2.8445489422199757e-14
112: [-0.771682605257904, -0.7716826052597856] = -2.5667894973284597e-14
113: [-0.7775133481024491, -0.7775133481044127] = -2.3161500702729563e-14
114: [-0.7833289018253972, -0.7833289018270114] = -2.0899824321327843e-14
115: [-0.789129311469348, -0.7891293114710233] = -1.8858970184254138e-14
116: [-0.7949146207785946, -0.7949146207805943] = -1.7017376535750736e-14
117: [-0.8006848722034673, -0.8006848722054383] = -1.535558746594886e-14
118: [-0.8064401069035966, -0.8064401069055007] = -1.3856047162047858e-14
119: [-0.8121803647520576, -0.8121803647538647] = -1.2502914272678758e-14
120: [-0.8179056843382467, -0.817905684340134] = -1.1281894417914987e-14
121: [-0.823616102970903, -0.823616102972691] = -1.018008907005967e-14
122: [-0.8293116566796357, -0.8293116566813825] = -9.185859204060377e-15
123: [-0.8349923802171892, -0.8349923802186866] = -8.288702273098731e-15
124: [-0.8406583070600547, -0.8406583070614743] = -7.479141206331057e-15
125: [-0.8463094694097859, -0.8463094694113301] = -6.748624253222385e-15
126: [-0.8519458981931479, -0.851945898194679] = -6.08943461401635e-15
127: [-0.8575676230615312, -0.8575676230632819] = -5.494608899537413e-15
128: [-0.863174672391164, -0.8631746723925517] = -4.957863557258837e-15
